# Team 0: AllInAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
12,Pre-Flop,1,236,-236,CALL,0,"['9s', 'Ad']","['9d', '6s']","['4d', '2h']",,,2,2
12,Flop,0,236,-236,CHECK,0,"['9s', 'Ad']","['9d', '6s']","['4d', '2h', '2s']",,,100,100
12,Flop,1,236,-236,FOLD,0,"['9s', 'Ad']","['9d', '6s']","['4d', '2h', '2s']",,,100,100
13,Pre-Flop,1,336,-336,CALL,0,"['8s', '7s']","['8h', 'Ah']","['9d', '3h']",,,1,1
13,Pre-Flop,0,336,-336,RAISE,98,"['8s', '7s']","['8h', 'Ah']","['9d', '3h']",,,2,2
13,Pre-Flop,1,336,-336,DISCARD,0,"['8s', '7s']","['8h', 'Ah']","['9d', '3h']",,,2,2
13,Pre-Flop,1,336,-336,FOLD,0,"['8s', '7s']","['As', 'Ah']","['9d', '3h']",,8h,2,2
14,Pre-Flop,0,338,-338,RAISE,98,"['6d', 'Ad']","['6s', '4h']","['8d', '7h']",,,1,1
14,Pre-Flop,1,338,-338,DISCARD,0,"['6d', 'Ad']","['6s', '4h']","['8d', '7h']",,,2,2
14,Pre-Flop,1,338,-338,FOLD,0,"['6d', 'Ad']","['9s', '4h']","['8d', '7h']",,6s,2,2
15,Pre-Flop,1,340,-340,DISCARD,0,"['6d', '5d']","['4s', '5h']","['Ad', '9d']",,,1,1
15,Pre-Flop,1,340,-340,FOLD,0,"['6d', '5d']","['Ah', '5h']","['Ad', '9d']",,4s,1,1
16,Pre-Flop,0,341,-341,RAISE,98,"['Ah', '9h']","['2h', '6s']","['2s', '3s']",,,1,1
16,Pre-Flop,1,341,-341,CALL,0,"['Ah', '9h']","['2h', '6s']","['2s', '3s']",,,2,2
16,Flop,0,341,-341,CHECK,0,"['Ah', '9h']","['2h', '6s']","['2s', '3s', '5h']",,,100,100
16,Flop,1,341,-341,FOLD,0,"['Ah', '9h']","['2h', '6s']","['2s', '3s', '5h']",,,100,100
17,Pre-Flop,1,441,-441,RAISE,40,"['3s', '4h']","['5d', 'Ad']","['6s', '2s']",,,1,1
17,Pre-Flop,0,441,-441,RAISE,58,"['3s', '4h']","['5d', 'Ad']","['6s', '2s']",,,2,2
17,Pre-Flop,1,441,-441,DISCARD,0,"['3s', '4h']","['5d', 'Ad']","['6s', '2s']",,,42,42
17,Pre-Flop,1,441,-441,CALL,0,"['3s', '4h']","['5d', '4s']","['6s', '2s']",,Ad,42,42
17,Pre-Flop,0,441,-441,CHECK,0,"['3s', '4h']","['5d', '4s']","['6s', '2s']",,Ad,100,100
