2025-03-22 21:50:46,926 - PlayerAgent - INFO - Starting agent server on 0.0.0.0:8001
2025-03-22 21:50:47,371 - PlayerAgent - INFO - Observation keys: {'street': 1, 'acting_agent': 0, 'my_cards': [1, 24], 'community_cards': [20, 5, 8, -1, -1], 'my_bet': 100, 'opp_bet': 100, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 0, 'max_raise': 0, 'valid_actions': [1, 0, 1, 0, 1]}
2025-03-22 21:50:47,378 - PlayerAgent - INFO - Observation keys: {'street': 2, 'acting_agent': 0, 'my_cards': [1, 12], 'community_cards': [20, 5, 8, 25, -1], 'my_bet': 100, 'opp_bet': 100, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 0, 'max_raise': 0, 'valid_actions': [1, 0, 1, 0, 0]}
2025-03-22 21:50:47,391 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [21, 20], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 24, 'opp_bet': 2, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 24, 'max_raise': 76, 'valid_actions': [1, 1, 1, 1, 0]}
2025-03-22 21:50:47,396 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [21, 20], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 100, 'opp_bet': 100, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 0, 'max_raise': 0, 'valid_actions': [1, 0, 1, 0, 0]}
2025-03-22 21:50:47,401 - PlayerAgent - INFO - Observation keys: {'street': 1, 'acting_agent': 0, 'my_cards': [21, 20], 'community_cards': [22, 3, 25, -1, -1], 'my_bet': 100, 'opp_bet': 100, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 0, 'max_raise': 0, 'valid_actions': [1, 0, 1, 0, 0]}
2025-03-22 21:50:47,406 - PlayerAgent - INFO - Observation keys: {'street': 2, 'acting_agent': 0, 'my_cards': [21, 20], 'community_cards': [22, 3, 25, 5, -1], 'my_bet': 100, 'opp_bet': 100, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 0, 'max_raise': 0, 'valid_actions': [1, 0, 1, 0, 0]}
2025-03-22 21:50:47,414 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [4, 10], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 2, 'opp_bet': 1, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 98, 'valid_actions': [1, 1, 1, 1, 1]}
2025-03-22 21:50:47,419 - PlayerAgent - INFO - Observation keys: {'street': 1, 'acting_agent': 0, 'my_cards': [4, 10], 'community_cards': [5, 7, 24, -1, -1], 'my_bet': 100, 'opp_bet': 100, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 0, 'max_raise': 0, 'valid_actions': [1, 0, 1, 0, 1]}
2025-03-22 21:50:47,432 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [19, 2], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 93, 'opp_bet': 2, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 7, 'max_raise': 7, 'valid_actions': [1, 1, 1, 1, 0]}
2025-03-22 21:50:47,437 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [19, 2], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 100, 'opp_bet': 100, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 0, 'max_raise': 0, 'valid_actions': [1, 0, 1, 0, 0]}
2025-03-22 21:50:47,445 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [2, 26], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 2, 'opp_bet': 1, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 98, 'valid_actions': [1, 1, 1, 1, 1]}
2025-03-22 21:50:47,450 - PlayerAgent - INFO - Observation keys: {'street': 1, 'acting_agent': 0, 'my_cards': [2, 26], 'community_cards': [25, 0, 22, -1, -1], 'my_bet': 100, 'opp_bet': 100, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 0, 'max_raise': 0, 'valid_actions': [1, 0, 1, 0, 1]}
2025-03-22 21:50:47,463 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [4, 3], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 12, 'opp_bet': 2, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 12, 'max_raise': 88, 'valid_actions': [1, 1, 1, 1, 0]}
2025-03-22 21:50:47,468 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [4, 3], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 100, 'opp_bet': 100, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 0, 'max_raise': 0, 'valid_actions': [1, 0, 1, 0, 0]}
2025-03-22 21:50:47,475 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [21, 11], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 2, 'opp_bet': 1, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 98, 'valid_actions': [1, 1, 1, 1, 1]}
2025-03-22 21:50:47,488 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [16, 26], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 21, 'opp_bet': 2, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 21, 'max_raise': 79, 'valid_actions': [1, 1, 1, 1, 1]}
2025-03-22 21:50:47,498 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [16, 23], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 2, 'opp_bet': 1, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 98, 'valid_actions': [1, 1, 1, 1, 1]}
2025-03-22 21:50:47,508 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [18, 4], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 2, 'opp_bet': 2, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 98, 'valid_actions': [1, 1, 1, 0, 1]}
2025-03-22 21:50:47,516 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [18, 6], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 100, 'opp_bet': 100, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 0, 'max_raise': 0, 'valid_actions': [1, 0, 1, 0, 0]}
2025-03-22 21:50:47,524 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [18, 7], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 2, 'opp_bet': 1, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 98, 'valid_actions': [1, 1, 1, 1, 1]}
2025-03-22 21:50:47,561 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [5, 24], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 2, 'opp_bet': 2, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 98, 'valid_actions': [1, 1, 1, 0, 0]}
2025-03-22 21:50:47,569 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [12, 2], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 2, 'opp_bet': 1, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 98, 'valid_actions': [1, 1, 1, 1, 1]}
2025-03-22 21:50:47,574 - PlayerAgent - INFO - Observation keys: {'street': 1, 'acting_agent': 0, 'my_cards': [12, 2], 'community_cards': [7, 9, 6, -1, -1], 'my_bet': 100, 'opp_bet': 100, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 0, 'max_raise': 0, 'valid_actions': [1, 0, 1, 0, 1]}
2025-03-22 21:50:47,592 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [10, 11], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 2, 'opp_bet': 1, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 98, 'valid_actions': [1, 1, 1, 1, 1]}
2025-03-22 21:50:47,603 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [22, 3], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 2, 'opp_bet': 2, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 98, 'valid_actions': [1, 1, 1, 0, 1]}
2025-03-22 21:50:47,610 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [22, 0], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 100, 'opp_bet': 100, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 0, 'max_raise': 0, 'valid_actions': [1, 0, 1, 0, 0]}
2025-03-22 21:50:47,617 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [22, 2], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 2, 'opp_bet': 1, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 98, 'valid_actions': [1, 1, 1, 1, 1]}
2025-03-22 21:50:47,631 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [14, 1], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 2, 'opp_bet': 1, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 98, 'valid_actions': [1, 1, 1, 1, 1]}
2025-03-22 21:50:47,635 - PlayerAgent - INFO - Observation keys: {'street': 1, 'acting_agent': 0, 'my_cards': [14, 1], 'community_cards': [10, 9, 3, -1, -1], 'my_bet': 100, 'opp_bet': 100, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 0, 'max_raise': 0, 'valid_actions': [1, 0, 1, 0, 1]}
2025-03-22 21:50:47,651 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [25, 14], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 2, 'opp_bet': 1, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 98, 'valid_actions': [1, 1, 1, 1, 1]}
2025-03-22 21:50:47,661 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [15, 6], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 2, 'opp_bet': 2, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 98, 'valid_actions': [1, 1, 1, 0, 1]}
2025-03-22 21:50:47,669 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [14, 5], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 2, 'opp_bet': 1, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 98, 'valid_actions': [1, 1, 1, 1, 1]}
2025-03-22 21:50:47,679 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [5, 14], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 2, 'opp_bet': 2, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 98, 'valid_actions': [1, 1, 1, 0, 1]}
2025-03-22 21:50:47,686 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [24, 11], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 2, 'opp_bet': 1, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 98, 'valid_actions': [1, 1, 1, 1, 1]}
2025-03-22 21:50:47,691 - PlayerAgent - INFO - Observation keys: {'street': 1, 'acting_agent': 0, 'my_cards': [24, 11], 'community_cards': [5, 26, 15, -1, -1], 'my_bet': 100, 'opp_bet': 100, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 0, 'max_raise': 0, 'valid_actions': [1, 0, 1, 0, 1]}
2025-03-22 21:50:47,704 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [20, 23], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 69, 'opp_bet': 2, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 31, 'max_raise': 31, 'valid_actions': [1, 1, 1, 1, 1]}
2025-03-22 21:50:47,711 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [15, 3], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 2, 'opp_bet': 1, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 98, 'valid_actions': [1, 1, 1, 1, 1]}
2025-03-22 21:50:47,727 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [26, 12], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 2, 'opp_bet': 1, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 98, 'valid_actions': [1, 1, 1, 1, 1]}
2025-03-22 21:50:47,739 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [26, 25], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 27, 'opp_bet': 2, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 27, 'max_raise': 73, 'valid_actions': [1, 1, 1, 1, 1]}
2025-03-22 21:50:47,744 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [26, 25], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 100, 'opp_bet': 100, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 0, 'max_raise': 0, 'valid_actions': [1, 0, 1, 0, 1]}
2025-03-22 21:50:47,752 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [15, 25], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 2, 'opp_bet': 1, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 98, 'valid_actions': [1, 1, 1, 1, 1]}
2025-03-22 21:50:47,760 - PlayerAgent - INFO - Observation keys: {'street': 1, 'acting_agent': 0, 'my_cards': [8, 25], 'community_cards': [20, 4, 11, -1, -1], 'my_bet': 100, 'opp_bet': 100, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 0, 'max_raise': 0, 'valid_actions': [1, 0, 1, 0, 0]}
2025-03-22 21:50:47,769 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [16, 15], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 98, 'opp_bet': 2, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 2, 'valid_actions': [1, 1, 1, 1, 1]}
2025-03-22 21:50:47,774 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [16, 15], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 100, 'opp_bet': 100, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 0, 'max_raise': 0, 'valid_actions': [1, 0, 1, 0, 1]}
2025-03-22 21:50:47,782 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [3, 15], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 2, 'opp_bet': 1, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 98, 'valid_actions': [1, 1, 1, 1, 1]}
2025-03-22 21:50:47,797 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [18, 1], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 86, 'opp_bet': 2, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 14, 'max_raise': 14, 'valid_actions': [1, 1, 1, 1, 0]}
2025-03-22 21:50:47,802 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [18, 1], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 100, 'opp_bet': 100, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 0, 'max_raise': 0, 'valid_actions': [1, 0, 1, 0, 0]}
2025-03-22 21:50:47,807 - PlayerAgent - INFO - Observation keys: {'street': 1, 'acting_agent': 0, 'my_cards': [18, 1], 'community_cards': [0, 6, 5, -1, -1], 'my_bet': 100, 'opp_bet': 100, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 0, 'max_raise': 0, 'valid_actions': [1, 0, 1, 0, 0]}
2025-03-22 21:50:47,815 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [8, 2], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 2, 'opp_bet': 1, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 98, 'valid_actions': [1, 1, 1, 1, 1]}
2025-03-22 21:50:47,828 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [23, 2], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 2, 'opp_bet': 2, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 98, 'valid_actions': [1, 1, 1, 0, 1]}
2025-03-22 21:50:47,836 - PlayerAgent - INFO - Observation keys: {'street': 0, 'acting_agent': 0, 'my_cards': [7, 11], 'community_cards': [-1, -1, -1, -1, -1], 'my_bet': 2, 'opp_bet': 1, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 2, 'max_raise': 98, 'valid_actions': [1, 1, 1, 1, 1]}
2025-03-22 21:50:47,837 - PlayerAgent - INFO - Hand number: 50
2025-03-22 21:50:47,840 - PlayerAgent - INFO - Hand number: 50
2025-03-22 21:50:47,843 - PlayerAgent - INFO - Observation keys: {'street': 1, 'acting_agent': 0, 'my_cards': [7, 6], 'community_cards': [18, 20, 25, -1, -1], 'my_bet': 100, 'opp_bet': 100, 'opp_discarded_card': -1, 'opp_drawn_card': -1, 'min_raise': 0, 'max_raise': 0, 'valid_actions': [1, 0, 1, 0, 0]}
